Company,Address_Line_1,City,State,ZipCode,Zip4,County_Code,Area_Code,IDCode,Location_Employee_Size_Code,Location_Sales_Volume_Code,Primary_SIC_Code,SIC6_Descriptions,Primary_NAICS_Code,NAICS8_Descriptions,SIC_Code,SIC6_Descriptions_SIC,SIC_Code_1,SIC6_Descriptions_SIC1,SIC_Code_2,SIC6_Descriptions_SIC2,SIC_Code_3,SIC6_Descriptions_SIC3,SIC_Code_4,SIC6_Descriptions_SIC4,Yellow_Page_Code,Employee_Size_Location,Sales_Volume_Location,Business_Status_Code,Industry_Specific_First_Byte,Year_Established,Office_Size_Code,Company_Holding_Status,ABI,Subsidiary_Number,Parent_Number,Parent_Actual_Employee_Size,Parent_Actual_Sales_Volume,Parent_Employee_Size_Code,Parent_Sales_Volume_Code,Site_Number,Address_Type_Indicator,Population_Code,Census_Tract,Census_Block,Latitude,Longitude,Match_Code,CBSA_Code,CBSA_Level,CSA_Code,FIPS_Code,archive_version_year
FIRST TIMOTHY BAPTIST CHURCH,3940 W GIRARD AVE,PHILADELPHIA,PA,19104,1137,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,C,,,,120731815,,,,,,,,,9,011000,4,039.973820,-075.203390,P,37980,2,428,42101,2014
FIRST UNITED BAPTIST CHURCH,3728 HAVERFORD AVE,PHILADELPHIA,PA,19104,1822,101,215,2,A,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,1,,9,C,,,,120731823,,,,,,,,,9,010800,3,039.963250,-075.197120,P,37980,2,428,42101,2014
NARA JAPANESE RESTAURANT,4002 SPRUCE ST,PHILADELPHIA,PA,19104,6607,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,581206,FOODS-CARRY OUT,,,,,,,,,,4,187,9,,,,,120732136,,,,,,,,,9,008800,4,039.951520,-075.203340,P,37980,2,428,42101,2014
HAAS TV SVC,223 S 45TH ST,PHILADELPHIA,PA,19104,2918,101,215,2,A,A,762212,VIDEO EQUIPMENT-SERVICE & REPAIR,81121119,CONSUMER ELECTRONICS REPAIR & MAINTENANCE,762210,VIDEO RECORDERS & PLAYERS-SERVICE/REPAIR,,,,,,,,,91024,1,145,9,,,,,120732359,,,,,,,,,9,008700,5,039.954310,-075.211580,P,37980,2,428,42101,2014
IMP WOODWORK CO,1115 N 38TH ST,PHILADELPHIA,PA,19104,1101,101,215,2,A,A,764105,FURNITURE-REPAIRING & REFINISHING,81142006,REUPHOLSTERY & FURNITURE REPAIR,,,,,,,,,,,35806,3,246,9,,1976,,,120732912,,,,,,,,,9,011000,1,039.973760,-075.198970,P,37980,2,428,42101,2014
INFANT FRIENDSHIP CTR INC,1001 S 45TH ST,PHILADELPHIA,PA,19104,4405,101,215,2,C,B,835102,SCHOOLS-NURSERY & KINDERGARTEN ACADEMIC,62441006,CHILD DAY CARE SERVICES,839998,NON-PROFIT ORGANIZATIONS,,,,,,,,,74506,19,788,9,,1963,,,120732961,,,,,,,,,9,007700,1,039.948588,-075.212185,0,37980,2,428,42101,2014
INSURANCE STORE,4445 CHESTNUT ST # B,PHILADELPHIA,PA,19104,3176,101,215,2,A,A,641112,INSURANCE,52421001,INSURANCE AGENCIES & BROKERAGES,,,,,,,,,,,43406,1,186,9,,,,,120733035,,,,,,,,,9,008700,6,039.956970,-075.211110,P,37980,2,428,42101,2014
WEBER METAL CRAFTS,615 N SHEDWICK ST,PHILADELPHIA,PA,19104,1916,101,215,2,A,B,344698,ARCHITECTURAL/ORNAMENTAL MTL WORK (MFRS),33232302,ORNAMENTAL & ARCHITECTURAL METAL WORK MFG,594520,CRAFTS,,,,,,,,,,3,588,9,,,,,120733134,,,,,,,,,9,010900,5,039.965330,-075.192380,P,37980,2,428,42101,2014
EUN'S FOOD MARKET,4132 LANCASTER AVE,PHILADELPHIA,PA,19104,1727,101,215,2,A,B,541105,GROCERS-RETAIL,44511003,SUPERMARKETS/OTHER GROCERY (EXC CONVENIENCE) STRS,,,,,,,,,,,39106,2,509,9,,,,,120733217,,,,,,,,,9,010600,2,039.965499,-075.206333,0,37980,2,428,42101,2014
NEW DELHI INDIAN RESTAURANT,4004 CHESTNUT ST,PHILADELPHIA,PA,19104,3020,101,215,2,B,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,,,,,,,,,,,72002,5,233,9,,,,,120733241,,,,,,,,,9,008800,6,039.955380,-075.202610,P,37980,2,428,42101,2014
JAY BEE RADIO,4406 LANCASTER AVE,PHILADELPHIA,PA,19104,1306,101,215,2,A,A,553114,AUTOMOBILE RADIO & STEREO SYSTS-SLS/SVC,44131013,AUTOMOTIVE PARTS & ACCESSORIES STORES,762202,TELEVISION & RADIO-SERVICE/REPAIR,,,,,,,,,05115,2,344,9,,,,,120733258,,,,,,,,,9,010500,2,039.968680,-075.211680,P,37980,2,428,42101,2014
JOSEPH ANTHONY HAIR SALON,3743 WALNUT ST,PHILADELPHIA,PA,19104,3602,101,215,2,B,A,723106,BEAUTY SALONS,81211202,BEAUTY SALONS,,,,,,,,,,,07204,6,288,9,,,,,120733365,,,,,,,,,9,008800,2,039.953605,-075.197812,0,37980,2,428,42101,2014
FEDEX OFFICE PRINT & SHIP CTR,3535 MARKET ST,PHILADELPHIA,PA,19104,3309,101,215,2,B,B,738948,BUSINESS SERVICE CENTERS,56143910,OTHER BUSINESS SVC CENTERS (INCLUDING COPY SHOPS),275202,PRINTERS (MFRS),733101,MAILING & SHIPPING SERVICES,733403,COPYING & DUPLICATING SERVICE,,,,,,6,823,2,A,,,,120733597,422503201,969075811,200,,F,,,,9,009000,4,039.956231,-075.193652,0,37980,2,428,42101,2014
KEENAN AT LUMPKIN,4436 MARKET ST,PHILADELPHIA,PA,19104,2909,101,215,2,C,C,753201,AUTOMOBILE BODY-REPAIRING & PAINTING,81112102,"AUTOMOTIVE BODY, PAINT & INTERIOR REPAIR/MAINT",,,,,,,,,,,04606,16,2163,9,,,,,120734090,,,,,,,,,9,008700,6,039.958020,-075.210140,P,37980,2,428,42101,2014
MAD GREEK RESTAURANT & PIZZA,3517 LANCASTER AVE,PHILADELPHIA,PA,19104,4915,101,215,2,A,A,581208,RESTAURANTS,72251117,FULL-SERVICE RESTAURANTS,581222,PIZZA,,,,,,,,,,4,187,9,,,,,120734181,,,,,,,,,9,009000,4,039.958460,-075.192920,P,37980,2,428,42101,2014
MANTUA COMMUNITY VECTOR CNTRL,3946 LANCASTER AVE,PHILADELPHIA,PA,19104,4635,101,215,2,A,A,734201,PEST CONTROL,56171009,EXTERMINATING & PEST CONTROL SERVICES,,,,,,,,,,,60401,3,189,9,,,,,120734264,,,,,,,,,9,010800,4,039.962590,-075.201910,P,37980,2,428,42101,2014
COUNCIL FOR RELATIONSHIPS,4025 CHESTNUT ST # 1,PHILADELPHIA,PA,19104,3098,101,215,2,D,,832204,COUNSELORS-LICENSED PROFESSIONAL,62419009,OTHER INDIVIDUAL & FAMILY SERVICES,823111,SPECIAL INTEREST LIBRARIES,832215,MARRIAGE & FAMILY COUNSELORS,999966,FEDERAL GOVERNMENT CONTRACTORS,596104,E-COMMERCE,,,22120,30,,9,,,,,120734322,,,,,,,120734322,,9,008800,6,039.955797,-075.202787,0,37980,2,428,42101,2014
REALTY WORLD,4023 LOCUST ST,PHILADELPHIA,PA,19104,3506,101,215,2,A,B,653118,REAL ESTATE,53121003,OFFICES OF REAL ESTATE AGENTS & BROKERS,,,,,,,,,,,70606,4,834,2,R,,,,120734405,,100375765,10,,C,,,,9,008800,5,039.953340,-075.203930,P,37980,2,428,42101,2014
METROPOLITAN BAPTIST CHURCH,3500 BARING ST,PHILADELPHIA,PA,19104,2497,101,215,2,C,,866107,CHURCHES,81311008,RELIGIOUS ORGANIZATIONS,,,,,,,,,,,15800,12,,9,C,,,,120734512,,,,,,,,,9,009000,5,039.961130,-075.192640,P,37980,2,428,42101,2014
